model_name,total_flops,total_params,run_id,array_size,precision_val,batch_size,clock_ghz,latency_ms,power_w,memory_mb,data_source,throughput_ops_s
densenet-9.onnx,5668323328,7895208,1,32,32,1,1.48,26.449299999512732,27.612517828357234,783.9221058686371,real_benchmark,214309011130.8967
densenet-9.onnx,5668323328,7895208,2,32,32,1,1.48,27.742699996451847,8.929518651656846,219.18052965962698,real_benchmark,204317652165.2525
densenet-9.onnx,5668323328,7895208,3,32,32,1,1.48,25.887199997669086,34.87531150262926,867.1968062136422,real_benchmark,218962395643.80786
densenet-9.onnx,5668323328,7895208,4,32,32,1,1.48,27.955700003076345,29.71717559631496,1023.6808606156861,real_benchmark,202760915569.14108
densenet-9.onnx,5668323328,7895208,5,32,32,1,1.48,24.268499997560866,9.4175967966857,255.88539958271622,real_benchmark,233567106684.3728
densenet-9.onnx,5668323328,7895208,6,32,32,1,1.48,24.114499996358063,38.08503769724667,484.0264709770255,real_benchmark,235058712760.20938
densenet-9.onnx,5668323328,7895208,7,32,32,1,1.48,25.81320000172127,23.727293790910842,671.146709122347,real_benchmark,219590106132.59982
densenet-9.onnx,5668323328,7895208,8,32,32,1,1.48,26.98410000448348,33.10254501029026,890.3341914628437,real_benchmark,210061603946.7017
densenet-9.onnx,5668323328,7895208,9,32,32,1,1.48,27.259599999524653,23.785077079677563,483.61626333124735,real_benchmark,207938609814.48163
densenet-9.onnx,5668323328,7895208,10,32,32,1,1.48,23.673800002143253,35.88118861415663,389.32655835381365,real_benchmark,239434451904.08093
densenet-9.onnx,5668323328,7895208,11,32,32,1,1.48,23.04539999749977,11.479761097468264,954.1672374205224,real_benchmark,245963330148.96527
densenet-9.onnx,5668323328,7895208,12,32,32,1,1.48,23.019500004011206,38.21499434475642,978.8698732700212,real_benchmark,246240071548.56885
densenet-9.onnx,5668323328,7895208,13,32,32,1,1.48,23.372300005576108,38.08817951592657,389.6738922336757,real_benchmark,242523128945.2756
densenet-9.onnx,5668323328,7895208,14,32,32,1,1.48,25.83470000536181,47.38041473722724,488.01331665759164,real_benchmark,219407360132.8283
densenet-9.onnx,5668323328,7895208,15,32,32,1,1.48,25.39779999642633,16.852165415017407,713.0646775253672,real_benchmark,223181666474.95364
densenet-9.onnx,5668323328,7895208,16,32,32,1,1.48,23.81440000317525,21.880587231185032,286.46300593589564,real_benchmark,238020833077.6431
densenet-9.onnx,5668323328,7895208,17,32,32,1,1.48,27.997199998935685,50.570404502395256,381.72984435009164,real_benchmark,202460364901.32877
densenet-9.onnx,5668323328,7895208,18,32,32,1,1.48,25.02479999384377,37.52001039203413,702.6750645315157,real_benchmark,226508237004.66882
densenet-9.onnx,5668323328,7895208,19,32,32,1,1.48,24.89369999966584,9.70513744439884,890.9081699086954,real_benchmark,227701118277.96143
densenet-9.onnx,5668323328,7895208,20,32,32,1,1.48,24.9206000007689,21.328696860576205,984.7754095453629,real_benchmark,227455331245.03864
densenet-9.onnx,5668323328,7895208,21,32,32,1,1.48,23.702300000877585,22.168832704890864,588.6351510808796,real_benchmark,239146552351.0431
densenet-9.onnx,5668323328,7895208,22,32,32,1,1.48,24.507200003426988,12.279571042859542,206.79780930764267,real_benchmark,231292164229.58823
densenet-9.onnx,5668323328,7895208,23,32,32,1,1.48,26.38459999434417,38.79718780568487,1004.0734185252927,real_benchmark,214834537162.40033
densenet-9.onnx,5668323328,7895208,24,32,32,1,1.48,22.546400003193412,40.057873875503844,871.1427410309525,real_benchmark,251407024056.92944
densenet-9.onnx,5668323328,7895208,25,32,32,1,1.48,22.31459999893559,44.52391139756839,528.2960093567347,real_benchmark,254018594474.93478
densenet-9.onnx,5668323328,7895208,26,32,32,1,1.48,24.2255000048317,26.849233956658736,360.2417093451383,real_benchmark,233981685697.69336
