model_name,total_flops,total_params,run_id,array_size,precision_val,batch_size,clock_ghz,latency_ms,power_w,memory_mb,data_source,throughput_ops_s
inception-v1-9.onnx,2863112704,6998552,1,36,32,1,1.47,287.91500000079395,34.00574289599257,325.4288431409648,real_benchmark,9944298504.739609
inception-v1-9.onnx,2863112704,6998552,2,36,32,1,1.47,231.6872000010335,30.602069687672074,707.5452588492778,real_benchmark,12357664575.286112
inception-v1-9.onnx,2863112704,6998552,3,36,32,1,1.47,238.03359999874374,17.55771969466651,896.7509851011569,real_benchmark,12028187213.969418
inception-v1-9.onnx,2863112704,6998552,4,36,32,1,1.47,275.3978000000643,44.41386773387599,785.700293154227,real_benchmark,10396280231.720556
inception-v1-9.onnx,2863112704,6998552,5,36,32,1,1.47,228.11599999840837,32.76953705483676,447.008936310005,real_benchmark,12551126199.038984
inception-v1-9.onnx,2863112704,6998552,6,36,32,1,1.47,266.0864000026777,40.58060917035842,289.41712471303583,real_benchmark,10760086588.308113
inception-v1-9.onnx,2863112704,6998552,7,36,32,1,1.47,240.6204999970214,20.48812658763027,826.6508647599431,real_benchmark,11898872722.961851
inception-v1-9.onnx,2863112704,6998552,8,36,32,1,1.47,431.05719999948633,28.552032683607347,722.0390523098929,real_benchmark,6642071409.556346
inception-v1-9.onnx,2863112704,6998552,9,36,32,1,1.47,304.81090000102995,44.13318277156793,345.9453731067753,real_benchmark,9393078475.836414
inception-v1-9.onnx,2863112704,6998552,10,36,32,1,1.47,278.98869999989984,24.606947094305035,850.6671778410891,real_benchmark,10262468350.872375
inception-v1-9.onnx,2863112704,6998552,11,36,32,1,1.47,306.97589999908814,52.184117480141985,594.0637501672236,real_benchmark,9326832184.573788
inception-v1-9.onnx,2863112704,6998552,12,36,32,1,1.47,226.97310000148718,32.71767959434462,544.8147382484467,real_benchmark,12614326120.501682
inception-v1-9.onnx,2863112704,6998552,13,36,32,1,1.47,260.6691000000865,13.109750706347816,566.7295136634586,real_benchmark,10983705794.047129
inception-v1-9.onnx,2863112704,6998552,14,36,32,1,1.47,276.19330000015907,29.218648380120765,247.68590320066477,real_benchmark,10366336562.104696
inception-v1-9.onnx,2863112704,6998552,15,36,32,1,1.47,276.0283999996318,37.1783667828133,936.758194323403,real_benchmark,10372529435.390776
inception-v1-9.onnx,2863112704,6998552,16,36,32,1,1.47,236.0515000000305,44.48564163417302,860.0163297634706,real_benchmark,12129186656.300129
inception-v1-9.onnx,2863112704,6998552,17,36,32,1,1.47,272.30580000104965,9.186611279282639,434.32228596591597,real_benchmark,10514328758.28926
inception-v1-9.onnx,2863112704,6998552,18,36,32,1,1.47,259.8080999996455,45.415549746411195,696.0414534239193,real_benchmark,11020105624.127604
inception-v1-9.onnx,2863112704,6998552,19,36,32,1,1.47,280.3905000000668,49.36343105884108,287.98951507632574,real_benchmark,10211161590.707664
inception-v1-9.onnx,2863112704,6998552,20,36,32,1,1.47,276.31019999898854,30.41492667812129,530.9390278532017,real_benchmark,10361950821.976463
inception-v1-9.onnx,2863112704,6998552,21,36,32,1,1.47,241.1272999997891,5.393573438693199,333.9903310613204,real_benchmark,11873863739.205408
inception-v1-9.onnx,2863112704,6998552,22,36,32,1,1.47,317.3377999992226,12.847573053362243,666.0124878193586,real_benchmark,9022286988.839697
